2024-10-07 08:50:00 User: Alice Login: Failed from IP: 192.168.0.1
2024-10-07 08:52:30 User: Bob Login: Failed from IP: 192.168.0.2
2024-10-07 08:55:34 User: Alice Login: Failed from IP: 192.168.0.1
2024-10-07 08:58:45 User: Charlie Login: Success from IP: 192.168.0.3
2024-10-07 09:00:34 User: Alice Login: Failed from IP: 192.168.0.1
2024-10-07 09:05:00 User: Bob Login: Success from IP: 192.168.0.2
2024-10-07 09:10:34 User: Alice Login: Success from IP: 192.168.0.1
2024-10-07 09:15:45 User: Charlie Data Transfer: 500MB from IP: 192.168.0.3
2024-10-07 09:20:00 User: Alice Data Transfer: 1200MB from IP: 192.168.0.1
2024-10-07 09:25:00 User: Alice Data Transfer: 1300MB from IP: 192.168.0.1
2024-10-07 09:28:15 User: Bob Data Transfer: 500MB from IP: 192.168.0.2
2024-10-07 09:30:34 User: Alice Data Transfer: 1400MB from IP: 192.168.0.1
2024-10-07 09:40:10 User: Bob Data Transfer: 1500MB from IP: 192.168.0.2
2024-10-07 09:45:00 User: Charlie Data Transfer: 800MB from IP: 192.168.0.3
2024-10-07 09:50:34 User: Alice Data Transfer: 800MB from IP: 192.168.0.1
2024-10-07 09:55:34 User: Bob Data Transfer: 1000MB from IP: 192.168.0.2
2024-10-07 10:05:00 User: Charlie Data Transfer: 1500MB from IP: 192.168.0.3
2024-10-07 10:10:00 User: Alice Data Transfer: 1600MB from IP: 192.168.0.1
2024-10-07 10:15:00 User: Charlie Data Transfer: 1200MB from IP: 192.168.0.3
2024-10-07 10:20:00 User: Alice Data Transfer: 1800MB from IP: 192.168.0.1
2024-10-07 10:25:00 User: Bob Data Transfer: 1700MB from IP: 192.168.0.2
2024-10-07 10:30:00 User: Alice Data Transfer: 500MB from IP: 192.168.0.1
2024-10-07 10:35:00 User: Bob Data Transfer: 600MB from IP: 192.168.0.2
2024-10-07 10:40:00 User: Alice Data Transfer: 1900MB from IP: 192.168.0.1
2024-10-07 10:50:00 User: Charlie Data Transfer: 1400MB from IP: 192.168.0.3
2024-10-07 10:55:00 User: Alice Data Transfer: 1200MB from IP: 192.168.0.1
2024-10-07 11:00:00 User: Bob Data Transfer: 1500MB from IP: 192.168.0.2
2024-10-07 11:05:00 User: Charlie Data Transfer: 1800MB from IP: 192.168.0.3
